# rank, thread, Name, start Time, end Time, delta, bytes, Depth
0, 22872455073792, "CatalystAnalysisAdaptor::Initialize", 1.68693005904050398e+09, 1.68693005910193205e+09, 6.14280700683593750e-02, -1, 3
0, 22872455073792, "CatalystAnalysisAdaptor::0::Initialize", 1.68693005910394001e+09, 1.68693005910394192e+09, 1.90734863281250000e-06, -1, 3
0, 22872455073792, "ConfigurableAnalysis::Initialize", 1.68693005904042792e+09, 1.68693006384391809e+09, 4.80349016189575195e+00, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Initialize", 1.68693005902420998e+09, 1.68693006384393311e+09, 4.81972312927246094e+00, -1, 1
0, 22872455073792, "nek::sensei_bridge::initialize", 1.68693005902399611e+09, 1.68693006384393597e+09, 4.81993985176086426e+00, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693006439697289e+09, 1.68693006439697409e+09, 1.19209289550781250e-06, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693006439697099e+09, 1.68693006439697504e+09, 4.05311584472656250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693006439696789e+09, 1.68693006439697695e+09, 9.05990600585937500e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693006493725705e+09, 1.68693006493725896e+09, 1.90734863281250000e-06, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693006493725610e+09, 1.68693006493726110e+09, 5.00679016113281250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693006493725300e+09, 1.68693006493726206e+09, 9.05990600585937500e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693006542661190e+09, 1.68693006542661309e+09, 1.19209289550781250e-06, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693006542660999e+09, 1.68693006542661500e+09, 5.00679016113281250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693006542660904e+09, 1.68693006542661691e+09, 7.86781311035156250e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693006582158494e+09, 1.68693006582158709e+09, 2.14576721191406250e-06, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693006582158399e+09, 1.68693006582158899e+09, 5.00679016113281250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693006582158208e+09, 1.68693006582158995e+09, 7.86781311035156250e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693006615933299e+09, 1.68693006615933490e+09, 1.90734863281250000e-06, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693006615933204e+09, 1.68693006615933609e+09, 4.05311584472656250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693006615932989e+09, 1.68693006615933800e+09, 8.10623168945312500e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693006640414906e+09, 1.68693006640415096e+09, 1.90734863281250000e-06, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693006640414810e+09, 1.68693006640415192e+09, 3.81469726562500000e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693006640414596e+09, 1.68693006640415311e+09, 7.15255737304687500e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693006663060689e+09, 1.68693006663060904e+09, 2.14576721191406250e-06, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693006663060594e+09, 1.68693006663060999e+09, 4.05311584472656250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693006663060403e+09, 1.68693006663061190e+09, 7.86781311035156250e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693006685735703e+09, 1.68693006685735893e+09, 1.90734863281250000e-06, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693006685735607e+09, 1.68693006685735989e+09, 3.81469726562500000e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693006685735393e+09, 1.68693006685736203e+09, 8.10623168945312500e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693006706598997e+09, 1.68693006706599212e+09, 2.14576721191406250e-06, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693006706598902e+09, 1.68693006706599402e+09, 5.00679016113281250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693006706598711e+09, 1.68693006706599498e+09, 7.86781311035156250e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693006729320908e+09, 1.68693006729321098e+09, 1.90734863281250000e-06, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693006729320693e+09, 1.68693006729321194e+09, 5.00679016113281250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693006729320502e+09, 1.68693006729321408e+09, 9.05990600585937500e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693006750264192e+09, 1.68693006750264406e+09, 2.14576721191406250e-06, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693006750264001e+09, 1.68693006750264502e+09, 5.00679016113281250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693006750263810e+09, 1.68693006750264597e+09, 7.86781311035156250e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693006771195102e+09, 1.68693006771195197e+09, 9.53674316406250000e-07, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693006771194911e+09, 1.68693006771195412e+09, 5.00679016113281250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693006771194792e+09, 1.68693006771195507e+09, 7.15255737304687500e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693006790392303e+09, 1.68693006790392494e+09, 1.90734863281250000e-06, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693006790392208e+09, 1.68693006790392590e+09, 3.81469726562500000e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693006790391994e+09, 1.68693006790392804e+09, 8.10623168945312500e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693006809597993e+09, 1.68693006809598088e+09, 9.53674316406250000e-07, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693006809597802e+09, 1.68693006809598303e+09, 5.00679016113281250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693006809597707e+09, 1.68693006809598398e+09, 6.91413879394531250e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693006828670907e+09, 1.68693006828671098e+09, 1.90734863281250000e-06, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693006828670812e+09, 1.68693006828671193e+09, 3.81469726562500000e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693006828670597e+09, 1.68693006828671408e+09, 8.10623168945312500e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693006849452496e+09, 1.68693006849452591e+09, 9.53674316406250000e-07, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693006849452305e+09, 1.68693006849452806e+09, 5.00679016113281250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693006849452090e+09, 1.68693006849452901e+09, 8.10623168945312500e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693006870096207e+09, 1.68693006870096397e+09, 1.90734863281250000e-06, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693006870095992e+09, 1.68693006870096493e+09, 5.00679016113281250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693006870095897e+09, 1.68693006870096588e+09, 6.91413879394531250e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693006889562988e+09, 1.68693006889563203e+09, 2.14576721191406250e-06, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693006889562893e+09, 1.68693006889563298e+09, 4.05311584472656250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693006889562702e+09, 1.68693006889563489e+09, 7.86781311035156250e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693006910246611e+09, 1.68693006910246801e+09, 1.90734863281250000e-06, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693006910246396e+09, 1.68693006910246897e+09, 5.00679016113281250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693006910246301e+09, 1.68693006910246992e+09, 6.91413879394531250e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693006929795408e+09, 1.68693006929795504e+09, 9.53674316406250000e-07, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693006929795194e+09, 1.68693006929795694e+09, 5.00679016113281250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693006929795003e+09, 1.68693006929795790e+09, 7.86781311035156250e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693006948732209e+09, 1.68693006948732305e+09, 9.53674316406250000e-07, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693006948731995e+09, 1.68693006948732495e+09, 5.00679016113281250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693006948731899e+09, 1.68693006948732591e+09, 6.91413879394531250e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693006968336511e+09, 1.68693006968336701e+09, 1.90734863281250000e-06, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693006968336296e+09, 1.68693006968336797e+09, 5.00679016113281250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693006968336201e+09, 1.68693006968337011e+09, 8.10623168945312500e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693006987351608e+09, 1.68693006987351799e+09, 1.90734863281250000e-06, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693006987351489e+09, 1.68693006987351894e+09, 4.05311584472656250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693006987351298e+09, 1.68693006987352109e+09, 8.10623168945312500e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693007007013607e+09, 1.68693007007013798e+09, 1.90734863281250000e-06, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693007007013392e+09, 1.68693007007013893e+09, 5.00679016113281250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693007007013297e+09, 1.68693007007013988e+09, 6.91413879394531250e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693007025910211e+09, 1.68693007025910306e+09, 9.53674316406250000e-07, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693007025909996e+09, 1.68693007025910401e+09, 4.05311584472656250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693007025909805e+09, 1.68693007025910592e+09, 7.86781311035156250e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693007047125697e+09, 1.68693007047125793e+09, 9.53674316406250000e-07, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693007047125506e+09, 1.68693007047126007e+09, 5.00679016113281250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693007047125411e+09, 1.68693007047126102e+09, 6.91413879394531250e-06, -1, 0
0, 22872455073792, "CatalystAnalysisAdaptor::0::Execute", 1.68693007065940189e+09, 1.68693007065940309e+09, 1.19209289550781250e-06, -1, 2
0, 22872455073792, "ConfigurableAnalysis::Execute", 1.68693007065939999e+09, 1.68693007065940499e+09, 5.00679016113281250e-06, -1, 1
0, 22872455073792, "nek::sensei_bridge::update", 1.68693007065939808e+09, 1.68693007065940595e+09, 7.86781311035156250e-06, -1, 0
