# rank, time, memory kiB
0, 1.68693196397000098e+09, 7632312
0, 1.68693202397032094e+09, 9230924
1, 1.68693196397029400e+09, 7614664
1, 1.68693202397056389e+09, 9208880
2, 1.68693196396998501e+09, 7618688
2, 1.68693202397027802e+09, 9230092
3, 1.68693196396995401e+09, 7629076
3, 1.68693202397023892e+09, 9218512
4, 1.68693196397002411e+09, 7606584
4, 1.68693202397025394e+09, 9246912
5, 1.68693196396998096e+09, 7616140
5, 1.68693202397024298e+09, 9240144
6, 1.68693196396999407e+09, 7621996
6, 1.68693202397026491e+09, 9241360
7, 1.68693196396998501e+09, 7619248
7, 1.68693202397023296e+09, 9232908
