# rank, thread, Name, start Time, end Time, delta, bytes, Depth
0, 22893421072384, "CatalystAnalysisAdaptor::Initialize", 1.68694852006395793e+09, 1.68694852012775803e+09, 6.38000965118408203e-02, -1, 3
0, 22893421072384, "CatalystAnalysisAdaptor::0::Initialize", 1.68694852013846803e+09, 1.68694852013846993e+09, 1.90734863281250000e-06, -1, 3
0, 22893421072384, "ConfigurableAnalysis::Initialize", 1.68694852006386304e+09, 1.68694853123216295e+09, 1.11682999134063721e+01, -1, 2
0, 22893421072384, "ConfigurableAnalysis::Initialize", 1.68694852005274105e+09, 1.68694853123217392e+09, 1.11794328689575195e+01, -1, 1
0, 22893421072384, "nek::sensei_bridge::initialize", 1.68694852005233002e+09, 1.68694853123217607e+09, 1.11798460483551025e+01, -1, 0
0, 22893421072384, "CatalystAnalysisAdaptor::0::Execute", 1.68694853186459899e+09, 1.68694853186459994e+09, 9.53674316406250000e-07, -1, 2
0, 22893421072384, "ConfigurableAnalysis::Execute", 1.68694853186459708e+09, 1.68694853186460209e+09, 5.00679016113281250e-06, -1, 1
0, 22893421072384, "nek::sensei_bridge::update", 1.68694853186459398e+09, 1.68694853186460304e+09, 9.05990600585937500e-06, -1, 0
0, 22893421072384, "CatalystAnalysisAdaptor::0::Execute", 1.68694853216804504e+09, 1.68694853216804600e+09, 9.53674316406250000e-07, -1, 2
0, 22893421072384, "ConfigurableAnalysis::Execute", 1.68694853216804290e+09, 1.68694853216804790e+09, 5.00679016113281250e-06, -1, 1
0, 22893421072384, "nek::sensei_bridge::update", 1.68694853216804099e+09, 1.68694853216804910e+09, 8.10623168945312500e-06, -1, 0
0, 22893421072384, "CatalystAnalysisAdaptor::0::Execute", 1.68694853242219591e+09, 1.68694853242219710e+09, 1.19209289550781250e-06, -1, 2
0, 22893421072384, "ConfigurableAnalysis::Execute", 1.68694853242219400e+09, 1.68694853242219901e+09, 5.00679016113281250e-06, -1, 1
0, 22893421072384, "nek::sensei_bridge::update", 1.68694853242219210e+09, 1.68694853242219996e+09, 7.86781311035156250e-06, -1, 0
0, 22893421072384, "CatalystAnalysisAdaptor::0::Execute", 1.68694853259679294e+09, 1.68694853259679508e+09, 2.14576721191406250e-06, -1, 2
0, 22893421072384, "ConfigurableAnalysis::Execute", 1.68694853259679198e+09, 1.68694853259679699e+09, 5.00679016113281250e-06, -1, 1
0, 22893421072384, "nek::sensei_bridge::update", 1.68694853259679103e+09, 1.68694853259679794e+09, 6.91413879394531250e-06, -1, 0
0, 22893421072384, "CatalystAnalysisAdaptor::0::Execute", 1.68694853274611998e+09, 1.68694853274612093e+09, 9.53674316406250000e-07, -1, 2
0, 22893421072384, "ConfigurableAnalysis::Execute", 1.68694853274611807e+09, 1.68694853274612308e+09, 5.00679016113281250e-06, -1, 1
0, 22893421072384, "nek::sensei_bridge::update", 1.68694853274611712e+09, 1.68694853274612403e+09, 6.91413879394531250e-06, -1, 0
0, 22893421072384, "CatalystAnalysisAdaptor::0::Execute", 1.68694853283646798e+09, 1.68694853283646989e+09, 1.90734863281250000e-06, -1, 2
0, 22893421072384, "ConfigurableAnalysis::Execute", 1.68694853283646703e+09, 1.68694853283647108e+09, 4.05311584472656250e-06, -1, 1
0, 22893421072384, "nek::sensei_bridge::update", 1.68694853283646488e+09, 1.68694853283647203e+09, 7.15255737304687500e-06, -1, 0
0, 22893421072384, "CatalystAnalysisAdaptor::0::Execute", 1.68694853291272402e+09, 1.68694853291272497e+09, 9.53674316406250000e-07, -1, 2
0, 22893421072384, "ConfigurableAnalysis::Execute", 1.68694853291272211e+09, 1.68694853291272712e+09, 5.00679016113281250e-06, -1, 1
0, 22893421072384, "nek::sensei_bridge::update", 1.68694853291271996e+09, 1.68694853291272807e+09, 8.10623168945312500e-06, -1, 0
0, 22893421072384, "CatalystAnalysisAdaptor::0::Execute", 1.68694853299101400e+09, 1.68694853299101496e+09, 9.53674316406250000e-07, -1, 2
0, 22893421072384, "ConfigurableAnalysis::Execute", 1.68694853299101305e+09, 1.68694853299101710e+09, 4.05311584472656250e-06, -1, 1
0, 22893421072384, "nek::sensei_bridge::update", 1.68694853299101210e+09, 1.68694853299101806e+09, 5.96046447753906250e-06, -1, 0
0, 22893421072384, "CatalystAnalysisAdaptor::0::Execute", 1.68694853305911899e+09, 1.68694853305912089e+09, 1.90734863281250000e-06, -1, 2
0, 22893421072384, "ConfigurableAnalysis::Execute", 1.68694853305911803e+09, 1.68694853305912304e+09, 5.00679016113281250e-06, -1, 1
0, 22893421072384, "nek::sensei_bridge::update", 1.68694853305911589e+09, 1.68694853305912399e+09, 8.10623168945312500e-06, -1, 0
0, 22893421072384, "CatalystAnalysisAdaptor::0::Execute", 1.68694853313801789e+09, 1.68694853313801908e+09, 1.19209289550781250e-06, -1, 2
0, 22893421072384, "ConfigurableAnalysis::Execute", 1.68694853313801599e+09, 1.68694853313802099e+09, 5.00679016113281250e-06, -1, 1
0, 22893421072384, "nek::sensei_bridge::update", 1.68694853313801503e+09, 1.68694853313802195e+09, 6.91413879394531250e-06, -1, 0
0, 22893421072384, "CatalystAnalysisAdaptor::0::Execute", 1.68694853320266104e+09, 1.68694853320266199e+09, 9.53674316406250000e-07, -1, 2
0, 22893421072384, "ConfigurableAnalysis::Execute", 1.68694853320265889e+09, 1.68694853320266294e+09, 4.05311584472656250e-06, -1, 1
0, 22893421072384, "nek::sensei_bridge::update", 1.68694853320265698e+09, 1.68694853320266509e+09, 8.10623168945312500e-06, -1, 0
0, 22893421072384, "CatalystAnalysisAdaptor::0::Execute", 1.68694853326851797e+09, 1.68694853326851892e+09, 9.53674316406250000e-07, -1, 2
0, 22893421072384, "ConfigurableAnalysis::Execute", 1.68694853326851606e+09, 1.68694853326852107e+09, 5.00679016113281250e-06, -1, 1
0, 22893421072384, "nek::sensei_bridge::update", 1.68694853326851511e+09, 1.68694853326852202e+09, 6.91413879394531250e-06, -1, 0
0, 22893421072384, "CatalystAnalysisAdaptor::0::Execute", 1.68694853331885099e+09, 1.68694853331885195e+09, 9.53674316406250000e-07, -1, 2
0, 22893421072384, "ConfigurableAnalysis::Execute", 1.68694853331884909e+09, 1.68694853331885290e+09, 3.81469726562500000e-06, -1, 1
0, 22893421072384, "nek::sensei_bridge::update", 1.68694853331884789e+09, 1.68694853331885409e+09, 6.19888305664062500e-06, -1, 0
0, 22893421072384, "CatalystAnalysisAdaptor::0::Execute", 1.68694853336952591e+09, 1.68694853336952806e+09, 2.14576721191406250e-06, -1, 2
0, 22893421072384, "ConfigurableAnalysis::Execute", 1.68694853336952496e+09, 1.68694853336952901e+09, 4.05311584472656250e-06, -1, 1
0, 22893421072384, "nek::sensei_bridge::update", 1.68694853336952305e+09, 1.68694853336952996e+09, 6.91413879394531250e-06, -1, 0
0, 22893421072384, "CatalystAnalysisAdaptor::0::Execute", 1.68694853341992593e+09, 1.68694853341992688e+09, 9.53674316406250000e-07, -1, 2
0, 22893421072384, "ConfigurableAnalysis::Execute", 1.68694853341992497e+09, 1.68694853341992903e+09, 4.05311584472656250e-06, -1, 1
0, 22893421072384, "nek::sensei_bridge::update", 1.68694853341992307e+09, 1.68694853341992998e+09, 6.91413879394531250e-06, -1, 0
0, 22893421072384, "CatalystAnalysisAdaptor::0::Execute", 1.68694853348032308e+09, 1.68694853348032498e+09, 1.90734863281250000e-06, -1, 2
0, 22893421072384, "ConfigurableAnalysis::Execute", 1.68694853348032188e+09, 1.68694853348032689e+09, 5.00679016113281250e-06, -1, 1
0, 22893421072384, "nek::sensei_bridge::update", 1.68694853348031998e+09, 1.68694853348032808e+09, 8.10623168945312500e-06, -1, 0
0, 22893421072384, "CatalystAnalysisAdaptor::0::Execute", 1.68694853354200792e+09, 1.68694853354201007e+09, 2.14576721191406250e-06, -1, 2
0, 22893421072384, "ConfigurableAnalysis::Execute", 1.68694853354200697e+09, 1.68694853354201102e+09, 4.05311584472656250e-06, -1, 1
0, 22893421072384, "nek::sensei_bridge::update", 1.68694853354200506e+09, 1.68694853354201293e+09, 7.86781311035156250e-06, -1, 0
0, 22893421072384, "CatalystAnalysisAdaptor::0::Execute", 1.68694853359353495e+09, 1.68694853359353590e+09, 9.53674316406250000e-07, -1, 2
0, 22893421072384, "ConfigurableAnalysis::Execute", 1.68694853359353399e+09, 1.68694853359353805e+09, 4.05311584472656250e-06, -1, 1
0, 22893421072384, "nek::sensei_bridge::update", 1.68694853359353209e+09, 1.68694853359353900e+09, 6.91413879394531250e-06, -1, 0
0, 22893421072384, "CatalystAnalysisAdaptor::0::Execute", 1.68694853365433908e+09, 1.68694853365434003e+09, 9.53674316406250000e-07, -1, 2
0, 22893421072384, "ConfigurableAnalysis::Execute", 1.68694853365433693e+09, 1.68694853365434194e+09, 5.00679016113281250e-06, -1, 1
0, 22893421072384, "nek::sensei_bridge::update", 1.68694853365433598e+09, 1.68694853365434289e+09, 6.91413879394531250e-06, -1, 0
0, 22893421072384, "CatalystAnalysisAdaptor::0::Execute", 1.68694853370433593e+09, 1.68694853370433688e+09, 9.53674316406250000e-07, -1, 2
0, 22893421072384, "ConfigurableAnalysis::Execute", 1.68694853370433402e+09, 1.68694853370433903e+09, 5.00679016113281250e-06, -1, 1
0, 22893421072384, "nek::sensei_bridge::update", 1.68694853370433211e+09, 1.68694853370433998e+09, 7.86781311035156250e-06, -1, 0
0, 22893421072384, "CatalystAnalysisAdaptor::0::Execute", 1.68694853375313902e+09, 1.68694853375313997e+09, 9.53674316406250000e-07, -1, 2
0, 22893421072384, "ConfigurableAnalysis::Execute", 1.68694853375313711e+09, 1.68694853375314212e+09, 5.00679016113281250e-06, -1, 1
0, 22893421072384, "nek::sensei_bridge::update", 1.68694853375313592e+09, 1.68694853375314307e+09, 7.15255737304687500e-06, -1, 0
0, 22893421072384, "CatalystAnalysisAdaptor::0::Execute", 1.68694853380444908e+09, 1.68694853380445004e+09, 9.53674316406250000e-07, -1, 2
0, 22893421072384, "ConfigurableAnalysis::Execute", 1.68694853380444789e+09, 1.68694853380445194e+09, 4.05311584472656250e-06, -1, 1
