# rank, time, memory kiB
0, 1.69170686065563893e+09, 16432716
0, 1.69170688065588689e+09, 16826916
0, 1.69170690065607905e+09, 16826924
0, 1.69170692065631700e+09, 16826924
0, 1.69170694065648389e+09, 16826924
0, 1.69170696065667009e+09, 16826924
0, 1.69170698065689802e+09, 16826924
0, 1.69170700065707397e+09, 16826940
0, 1.69170702065727496e+09, 16826940
1, 1.69170686065549397e+09, 16465776
1, 1.69170688065587401e+09, 16859992
1, 1.69170690065607691e+09, 16859992
1, 1.69170692065628910e+09, 16859992
1, 1.69170694065652895e+09, 16859992
1, 1.69170696065674591e+09, 16859992
1, 1.69170698065699100e+09, 16859992
1, 1.69170700065720892e+09, 16860008
1, 1.69170702065742302e+09, 16860008
2, 1.69170686065559292e+09, 16465656
2, 1.69170688065593100e+09, 16859704
2, 1.69170690065610194e+09, 16859704
2, 1.69170692065628505e+09, 16859868
2, 1.69170694065647793e+09, 16859868
2, 1.69170696065666103e+09, 16859868
2, 1.69170698065685296e+09, 16859868
2, 1.69170700065703106e+09, 16859884
2, 1.69170702065722895e+09, 16859884
3, 1.69170686065554190e+09, 16465024
3, 1.69170688065588593e+09, 16859076
3, 1.69170690065606499e+09, 16859076
3, 1.69170692065625405e+09, 16859240
3, 1.69170694065640807e+09, 16859240
3, 1.69170696065655804e+09, 16859240
3, 1.69170698065676403e+09, 16859240
3, 1.69170700065695310e+09, 16859256
3, 1.69170702065713692e+09, 16859256
4, 1.69170686065552402e+09, 16434412
4, 1.69170688065589595e+09, 16828600
4, 1.69170690065609789e+09, 16828600
4, 1.69170692065629005e+09, 16828600
4, 1.69170694065649605e+09, 16828600
4, 1.69170696065671897e+09, 16828600
4, 1.69170698065692496e+09, 16828600
4, 1.69170700065714312e+09, 16828616
4, 1.69170702065736008e+09, 16828616
5, 1.69170686065546894e+09, 16468596
5, 1.69170688065587211e+09, 16784692
5, 1.69170690065608406e+09, 16784692
5, 1.69170692065628791e+09, 16784692
5, 1.69170694065652895e+09, 16784692
5, 1.69170696065675902e+09, 16784692
5, 1.69170698065700698e+09, 16784692
5, 1.69170700065721703e+09, 16784708
5, 1.69170702065744996e+09, 16784708
6, 1.69170686065540695e+09, 16463456
6, 1.69170688065578699e+09, 16857664
6, 1.69170690065596795e+09, 16857664
6, 1.69170692065614390e+09, 16857664
6, 1.69170694065633297e+09, 16857664
6, 1.69170696065652704e+09, 16857664
6, 1.69170698065673304e+09, 16857664
6, 1.69170700065691590e+09, 16857680
6, 1.69170702065710592e+09, 16857680
7, 1.69170686065535498e+09, 16467912
7, 1.69170688065571594e+09, 16783992
7, 1.69170690065590096e+09, 16783992
7, 1.69170692065608406e+09, 16783996
7, 1.69170694065628409e+09, 16783996
7, 1.69170696065648198e+09, 16783996
7, 1.69170698065669203e+09, 16783996
7, 1.69170700065687203e+09, 16784012
7, 1.69170702065707707e+09, 16784012
8, 1.69170686065557003e+09, 16434848
8, 1.69170688065591192e+09, 16829048
8, 1.69170690065613389e+09, 16829048
8, 1.69170692065637112e+09, 16829048
8, 1.69170694065656996e+09, 16829048
8, 1.69170696065680599e+09, 16829048
8, 1.69170698065703893e+09, 16829048
8, 1.69170700065729094e+09, 16829064
8, 1.69170702065751696e+09, 16829064
9, 1.69170686065543890e+09, 16419616
9, 1.69170688065574789e+09, 16813840
9, 1.69170690065590191e+09, 16813840
9, 1.69170692065610003e+09, 16813840
9, 1.69170694065625405e+09, 16813840
9, 1.69170696065640807e+09, 16813840
9, 1.69170698065658307e+09, 16813840
9, 1.69170700065676498e+09, 16813856
9, 1.69170702065693808e+09, 16813856
10, 1.69170686065547490e+09, 16471540
10, 1.69170688065580797e+09, 16787456
10, 1.69170690065596294e+09, 16787608
10, 1.69170692065613294e+09, 16787608
10, 1.69170694065628910e+09, 16787608
10, 1.69170696065644693e+09, 16787608
10, 1.69170698065661812e+09, 16787608
10, 1.69170700065677595e+09, 16787624
10, 1.69170702065693903e+09, 16787624
11, 1.69170686065550303e+09, 16423388
11, 1.69170688065583491e+09, 16817596
11, 1.69170690065599990e+09, 16817596
11, 1.69170692065618491e+09, 16817596
11, 1.69170694065635395e+09, 16817596
11, 1.69170696065651608e+09, 16817596
11, 1.69170698065669799e+09, 16817596
11, 1.69170700065686893e+09, 16817612
11, 1.69170702065703392e+09, 16817612
12, 1.69170686065560293e+09, 16505852
12, 1.69170688065589309e+09, 16821936
12, 1.69170690065603805e+09, 16821936
12, 1.69170692065618896e+09, 16821936
12, 1.69170694065631390e+09, 16821936
12, 1.69170696065644908e+09, 16821936
12, 1.69170698065662503e+09, 16821936
12, 1.69170700065675592e+09, 16821952
12, 1.69170702065685391e+09, 16821952
13, 1.69170686065550208e+09, 16471920
13, 1.69170688065575600e+09, 16787848
13, 1.69170690065585494e+09, 16787848
