# rank, time, memory kiB
0, 1.68694852005233598e+09, 2649668
1, 1.68694852005233788e+09, 2633344
2, 1.68694852005235100e+09, 2722556
3, 1.68694852005234289e+09, 2639480
4, 1.68694852005240393e+09, 2668084
5, 1.68694852005236411e+09, 2667428
6, 1.68694852005235100e+09, 2650564
7, 1.68694852005236912e+09, 2720228
8, 1.68694852005238605e+09, 2653668
9, 1.68694852005241799e+09, 2610872
10, 1.68694852005240107e+09, 2630960
11, 1.68694852005238390e+09, 2688788
12, 1.68694852005238795e+09, 2665200
13, 1.68694852005235195e+09, 2685772
14, 1.68694852005249500e+09, 2652616
15, 1.68694852005239511e+09, 2645612
16, 1.68694852005232811e+09, 2671556
17, 1.68694852005255008e+09, 2678808
18, 1.68694852005253506e+09, 2730480
19, 1.68694852005236006e+09, 2705504
20, 1.68694852005236506e+09, 2642308
21, 1.68694852005236006e+09, 2686500
22, 1.68694852005240297e+09, 2662624
23, 1.68694852005240107e+09, 2653964
24, 1.68694852005238390e+09, 2644292
25, 1.68694852005241299e+09, 2677844
26, 1.68694852005237508e+09, 2682080
27, 1.68694852005242491e+09, 2729128
28, 1.68694852005232406e+09, 2666576
29, 1.68694852005233192e+09, 2623676
30, 1.68694852005234599e+09, 2711208
31, 1.68694852005233407e+09, 2658768
32, 1.68694852005240703e+09, 2671012
33, 1.68694852005236292e+09, 2771476
34, 1.68694852005236006e+09, 2638468
35, 1.68694852005241895e+09, 2715840
36, 1.68694852005238700e+09, 2685164
37, 1.68694852005235291e+09, 2646324
38, 1.68694852005236292e+09, 2702800
39, 1.68694852005237103e+09, 2632764
