# rank, thread, Name, start Time, end Time, delta, bytes, Depth
0, 22545309384704, "CatalystAnalysisAdaptor::Initialize", 1.68694362426471496e+09, 1.68694362435672903e+09, 9.20140743255615234e-02, -1, 3
0, 22545309384704, "CatalystAnalysisAdaptor::0::Initialize", 1.68694362435684299e+09, 1.68694362435684490e+09, 1.90734863281250000e-06, -1, 3
0, 22545309384704, "ConfigurableAnalysis::Initialize", 1.68694362426264191e+09, 1.68694363327243400e+09, 9.00979208946228027e+00, -1, 2
0, 22545309384704, "ConfigurableAnalysis::Initialize", 1.68694362424484706e+09, 1.68694363327244496e+09, 9.02759790420532227e+00, -1, 1
0, 22545309384704, "nek::sensei_bridge::initialize", 1.68694362424446392e+09, 1.68694363327244711e+09, 9.02798318862915039e+00, -1, 0
0, 22545309384704, "CatalystAnalysisAdaptor::0::Execute", 1.68694363384935093e+09, 1.68694363384935188e+09, 9.53674316406250000e-07, -1, 2
0, 22545309384704, "ConfigurableAnalysis::Execute", 1.68694363384934902e+09, 1.68694363384935308e+09, 4.05311584472656250e-06, -1, 1
0, 22545309384704, "nek::sensei_bridge::update", 1.68694363384934592e+09, 1.68694363384935498e+09, 9.05990600585937500e-06, -1, 0
0, 22545309384704, "CatalystAnalysisAdaptor::0::Execute", 1.68694363415176892e+09, 1.68694363415177011e+09, 1.19209289550781250e-06, -1, 2
0, 22545309384704, "ConfigurableAnalysis::Execute", 1.68694363415176797e+09, 1.68694363415177202e+09, 4.05311584472656250e-06, -1, 1
0, 22545309384704, "nek::sensei_bridge::update", 1.68694363415176606e+09, 1.68694363415177298e+09, 6.91413879394531250e-06, -1, 0
0, 22545309384704, "CatalystAnalysisAdaptor::0::Execute", 1.68694363440470600e+09, 1.68694363440470695e+09, 9.53674316406250000e-07, -1, 2
0, 22545309384704, "ConfigurableAnalysis::Execute", 1.68694363440470505e+09, 1.68694363440470910e+09, 4.05311584472656250e-06, -1, 1
0, 22545309384704, "nek::sensei_bridge::update", 1.68694363440470290e+09, 1.68694363440471005e+09, 7.15255737304687500e-06, -1, 0
0, 22545309384704, "CatalystAnalysisAdaptor::0::Execute", 1.68694363458110094e+09, 1.68694363458110189e+09, 9.53674316406250000e-07, -1, 2
0, 22545309384704, "ConfigurableAnalysis::Execute", 1.68694363458109903e+09, 1.68694363458110309e+09, 4.05311584472656250e-06, -1, 1
